55184.8764802,11914,6.05941332920E-07,3.77415893129E-10
55184.8969133,11915,6.06119170883E-07,3.77442865982E-10
55184.9377794,11917,6.06258302040E-07,3.77495744965E-10
55184.9582125,11918,6.06048005220E-07,3.77440884925E-10
55184.9786456,11919,6.06836465906E-07,3.77536737606E-10
55184.9990786,11920,6.06865724594E-07,3.77548319170E-10
55185.0195117,11921,6.06144010290E-07,3.77449875876E-10
55185.0399447,11922,6.07076326192E-07,3.77556852954E-10
55185.0603779,11923,6.07319843814E-07,3.77599979041E-10
55185.0808109,11924,6.07165016590E-07,3.77576358746E-10
55185.1012439,11925,6.07337978105E-07,3.77601350542E-10
55185.1216771,11926,6.07385828251E-07,3.77618875277E-10
55185.1421101,11927,6.07385218695E-07,3.77611103438E-10
55185.1625432,11928,6.07810993561E-07,3.77657582083E-10
55185.1829763,11929,6.07576924057E-07,3.77636704790E-10
55185.2034094,11930,6.06725221936E-07,3.77542985555E-10
55185.2238424,11931,6.07067944797E-07,3.77588092699E-10
55185.2442755,11932,6.07315729311E-07,3.77597083650E-10
55185.2647086,11933,6.07343159331E-07,3.77601350542E-10
55185.2851417,11934,6.07501643891E-07,3.77620246778E-10
55185.3055746,11935,6.06771243414E-07,3.77554567119E-10
55185.3260078,11936,6.06943442984E-07,3.77576663524E-10
55185.3464409,11937,6.07278241617E-07,3.77624056503E-10
55185.3668739,11938,6.07363427068E-07,3.77614151218E-10
55185.3873071,11939,6.05890282605E-07,3.77426560359E-10
55185.4077401,11940,6.08360508295E-07,3.77740938866E-10
55185.4281731,11941,6.06710440203E-07,3.77536432828E-10
55185.4486063,11942,6.06804311827E-07,3.77548471559E-10
55185.4690394,11943,6.07137586570E-07,3.77596016927E-10
55185.5099054,11945,6.07480309431E-07,3.77655601026E-10
55185.5303386,11946,6.07355807618E-07,3.77649048299E-10
55185.5507717,11947,6.06404443091E-07,3.77505650250E-10
55185.5712047,11948,6.06912965184E-07,3.77573768133E-10
55185.5916378,11949,6.06576185494E-07,3.77537194773E-10
55185.6120709,11950,6.07186503439E-07,3.77606988935E-10
55185.6325039,11951,6.06923937192E-07,3.77579558915E-10
55185.6529371,11952,6.06815588613E-07,3.77566301072E-10
55185.6733702,11953,6.06244739419E-07,3.77485230124E-10
55185.6938031,11954,6.06408405205E-07,3.77519060482E-10
55185.7142363,11955,6.07201132783E-07,3.77623142169E-10
55185.7346694,11956,6.06951214823E-07,3.77574530078E-10
55185.7551024,11957,6.06632417035E-07,3.77559595956E-10
55185.7755355,11958,6.06910222182E-07,3.77591445257E-10
55185.7959686,11959,6.06965387000E-07,3.77600588597E-10
55185.8164016,11960,6.07215152571E-07,3.77615675108E-10
55185.8368347,11961,6.07914618081E-07,3.77704213117E-10
55185.8572678,11962,6.06802483159E-07,3.77586111642E-10
55185.8777009,11963,6.07189551219E-07,3.77631066397E-10
55185.8981340,11964,6.07069621076E-07,3.77612779717E-10
55185.9185671,11965,6.07452269855E-07,3.77649505466E-10
55185.9390001,11966,6.07296528297E-07,3.77721128296E-10
55185.9594332,11967,6.07850614701E-07,3.77714423180E-10
55185.9798664,11968,6.07396647870E-07,3.77655905804E-10
55186.0002994,11969,6.08128877015E-07,3.77752825208E-10
55186.0207325,11970,6.07084250420E-07,3.77606684157E-10
55186.0411656,11971,6.07609078136E-07,3.77674192484E-10
55186.0615986,11972,6.07458974971E-07,3.77674192484E-10
55186.0820317,11973,6.07297899798E-07,3.77642800350E-10
55186.1024648,11974,6.08077369533E-07,3.77757701656E-10
55186.1228979,11975,6.07904560407E-07,3.77731185970E-10
55186.1433310,11976,6.08580710400E-07,3.77804942246E-10
55186.1637641,11977,6.07797735718E-07,3.77721280685E-10
55186.1841973,11978,6.07996146196E-07,3.77751758485E-10
55186.2046302,11979,6.07787220877E-07,3.77720823518E-10
55186.2250633,11980,6.07549036870E-07,3.77694917388E-10
55186.2454965,11981,6.08308238868E-07,3.77795646517E-10
55186.2659295,11982,6.08207052572E-07,3.77786960344E-10
55186.2863626,11983,6.12049388818E-07,3.78313159561E-10
55186.3067956,11984,6.08800607727E-07,3.77840753661E-10
55186.3272288,11985,6.08932271823E-07,3.77875345964E-10
55186.3476619,11986,6.09460909264E-07,3.77925786723E-10
55186.3680950,11987,6.09591506637E-07,3.77946054460E-10
55186.3885281,11988,6.10221482763E-07,3.78051812426E-10
55186.4089611,11989,6.09948401675E-07,3.78010972174E-10
55186.4293942,11990,6.10646800462E-07,3.78086557118E-10
55186.4498273,11991,6.10048216470E-07,3.78030020799E-10
55186.4702604,11992,6.09623203549E-07,3.77963426806E-10
55186.4906935,11993,6.11043164251E-07,3.78146445995E-10
55186.5111265,11994,6.10363204533E-07,3.78064460713E-10
55186.5315597,11995,6.10873250516E-07,3.78128311704E-10
55186.5519928,11996,6.11001866832E-07,3.78154675001E-10
55186.5724258,11997,6.10427512691E-07,3.78069794328E-10
55186.5928590,11998,6.11632300125E-07,3.78345923196E-10
55186.6132921,11999,6.10535099325E-07,3.78095700458E-10
55186.6337251,12000,6.10685050101E-07,3.78142941048E-10
55186.6541583,12001,6.10853439946E-07,3.78137150266E-10
55186.6745912,12002,6.10310020772E-07,3.78070403884E-10
55186.6950243,12003,6.10557957675E-07,3.78103472297E-10
55186.7154575,12004,6.09653681349E-07,3.77978360928E-10
55186.7358906,12005,6.10801780075E-07,3.78132730985E-10
55186.7563236,12006,6.10438179921E-07,3.78094481346E-10
55186.7767567,12007,6.10695412553E-07,3.78122520922E-10
55186.7971899,12008,6.09810794408E-07,3.78018896402E-10
55186.8176229,12009,6.10078999048E-07,3.78046783589E-10
55186.8380560,12010,6.10604588709E-07,3.78122520922E-10
55186.8584892,12011,6.10663106085E-07,3.78124654368E-10
