# TIME                TIMECORR       CADENCENO   SAP_FLUX     SAP_FLUX_ERR   SAP_BKG     SAP_BKG_ERR   PDCSAP_FLUX   PDCSAP_FLUX_ERR   SAP_QUALITY   PSF_CENTR1   PSF_CENTR1_ERR   PSF_CENTR2   PSF_CENTR2_ERR   MOM_CENTR1           MOM_CENTR1_ERR   MOM_CENTR2           MOM_CENTR2_ERR   POS_CORR1      POS_CORR2    
  539.4502657201374   0.0029379001   21069       ""           ""             ""          ""            ""            ""                16392         ""           ""               ""           ""               ""                   ""               ""                   ""               ""             ""           
  539.9202495078789   0.0029486879   21092       11882.729    6.026579       2016.0043   1.0609063     12105.134     6.1825066         0             ""           ""               ""           ""               1032.260349148171    0.0010066951     294.8589541964409    8.9363457E-4     0.0029772872   0.110977225  
  539.9406835740083   0.002949154    21093       11880.266    6.026473       2013.7429   1.0608958     12101.81      6.182531          0             ""           ""               ""           ""               1032.2553415150737   0.0010067985     294.85996701718494   8.9395937E-4     0.0030251313   0.110939994  
  539.9611175398968   0.00294962     21094       11867.385    6.0264134      2014.6411   1.0609031     12089.581     6.181382          0             ""           ""               ""           ""               1032.256104384908    0.001007775      294.85865553551173   8.946997E-4      0.002987551    0.11111359   
  539.9815517055613   0.0029500856   21095       11870.135    6.026354       2016.2896   1.0609103     12092.072     6.1821647         0             ""           ""               ""           ""               1032.2569033139325   0.0010072491     294.8595167142404    8.942798E-4      0.0031046239   0.110995956  
  540.0019857709849   0.002950551    21096       11881.518    6.0262938      2012.5189   1.0609176     12103.871     6.181622          0             ""           ""               ""           ""               1032.256356656576    0.0010059471     294.85978186888565   8.9316344E-4     0.003088685    0.11105342   
  540.0224197361822   0.0029510162   21097       11874.258    6.0262346      2016.2699   1.060925      12097.53      6.181558          8192          ""           ""               ""           ""               1032.2582627559586   0.0010067929     294.85927514984985   8.938175E-4      0.0030932918   0.1110734    
  540.0428539011482   0.0029514811   21098       11861.518    6.0261745      2014.3541   1.0609323     12083.211     6.181937          0             ""           ""               ""           ""               1032.25680414762     0.0010080552     294.8596490392854    8.9501456E-4     0.0030595644   0.110978894  
  540.0632879658806   0.0029519459   21099       11856.113    6.026115       2016.4403   1.0609396     12079.491     6.1814346         0             ""           ""               ""           ""               1032.260115821924    0.0010081022     294.8615775192057    8.9511264E-4     0.0031487125   0.11112457   
  540.0837220303729   0.0029524104   21100       11869.471    6.026055       2010.8597   1.0609468     12091.794     6.181073          0             ""           ""               ""           ""               1032.2568052278941   0.001006478      294.8592768277311    8.935878E-4      0.003071328    0.11094559   
  540.1041560946396   0.0029528746   21101       11859.184    6.0259953      2015.3999   1.0609541     12083.096     6.18075           0             ""           ""               ""           ""               1032.2577175087736   0.0010083318     294.85903479338816   8.9518825E-4     0.0031348558   0.111137114  
